#counts	pass=34142	fail=1800	panic=0	unsupported=3413	blocked=65	vacuous=2358	total=39420
MS-Regex2006-07-15	HalfwidthandFullwidthForms/HalfwidthandFullwidthForms.v	unsupported	
MS-Regex2006-07-15	HangulCompatibilityJamo/HangulCompatibilityJamo	unsupported	
MS-Regex2006-07-15	HangulCompatibilityJamo/HangulCompatibilityJamo.v	unsupported	
MS-Regex2006-07-15	HangulJamo/HangulJamo	unsupported	
MS-Regex2006-07-15	HangulJamo/HangulJamo.v	unsupported	
MS-Regex2006-07-15	Hebrew/Hebrew	unsupported	
MS-Regex2006-07-15	Hebrew/Hebrew.v	unsupported	
MS-Regex2006-07-15	HighSurrogates/HighSurrogates	unsupported	
MS-Regex2006-07-15	HighSurrogates/HighSurrogates.i	unsupported	
MS-Regex2006-07-15	Hiragana/Hiragana	unsupported	
MS-Regex2006-07-15	Hiragana/Hiragana.v	unsupported	
MS-DataTypes2006-07-15	IDREFS_length006_395/IDREFS_length006_395	fail	
MS-DataTypes2006-07-15	IDREFS_length007_396/IDREFS_length007_396	fail	
MS-DataTypes2006-07-15	IDREFS_minLength006_402/IDREFS_minLength006_402	fail	
MS-DataTypes2006-07-15	IDREF_length006_525/IDREF_length006_525	fail	
MS-DataTypes2006-07-15	IDREF_length007_526/IDREF_length007_526	fail	
MS-DataTypes2006-07-15	IDREF_minLength006_532/IDREF_minLength006_532	fail	
MS-DataTypes2006-07-15	ID_length006_503/ID_length006_503	fail	
MS-DataTypes2006-07-15	ID_length007_504/ID_length007_504	fail	
MS-DataTypes2006-07-15	ID_minLength006_510/ID_minLength006_510	fail	
MS-DataTypes2006-07-15	ID_test64335_2240/ID_test64335_2240	unsupported	
MS-DataTypes2006-07-15	ID_test64335_2240/ID_test64335_2240.v	unsupported	
MS-Regex2006-07-15	IPAExtensions/IPAExtensions	unsupported	
MS-Regex2006-07-15	IPAExtensions/IPAExtensions.v	unsupported	
MS-Regex2006-07-15	IdeographicDescriptionCharacters/IdeographicDescriptionCharacters	unsupported	
MS-Regex2006-07-15	IdeographicDescriptionCharacters/IdeographicDescriptionCharacters.v	unsupported	
MS-Regex2006-07-15	Kanbun/Kanbun	unsupported	
MS-Regex2006-07-15	Kanbun/Kanbun.v	unsupported	
MS-Regex2006-07-15	KangxiRadicals/KangxiRadicals	unsupported	
MS-Regex2006-07-15	KangxiRadicals/KangxiRadicals.v	unsupported	
MS-Regex2006-07-15	Kannada/Kannada	unsupported	
MS-Regex2006-07-15	Kannada/Kannada.v	unsupported	
MS-Regex2006-07-15	Katakana/Katakana	unsupported	
MS-Regex2006-07-15	Katakana/Katakana.v	unsupported	
MS-Regex2006-07-15	Khmer/Khmer	unsupported	
MS-Regex2006-07-15	Khmer/Khmer.v	unsupported	
MS-Regex2006-07-15	Lao/Lao	unsupported	
MS-Regex2006-07-15	Lao/Lao.v	unsupported	
MS-Regex2006-07-15	Latin-1Supplement/Latin-1Supplement	unsupported	
MS-Regex2006-07-15	Latin-1Supplement/Latin-1Supplement.v	unsupported	
MS-Regex2006-07-15	LatinExtended-A/LatinExtended-A	unsupported	
MS-Regex2006-07-15	LatinExtended-A/LatinExtended-A.v	unsupported	
MS-Regex2006-07-15	LatinExtended-B/LatinExtended-B	unsupported	
MS-Regex2006-07-15	LatinExtended-B/LatinExtended-B.v	unsupported	
MS-Regex2006-07-15	LatinExtendedAdditional/LatinExtendedAdditional	unsupported	
MS-Regex2006-07-15	LatinExtendedAdditional/LatinExtendedAdditional.v	unsupported	
MS-Regex2006-07-15	LetterlikeSymbols/LetterlikeSymbols	unsupported	
MS-Regex2006-07-15	LetterlikeSymbols/LetterlikeSymbols.v	unsupported	
MS-Regex2006-07-15	Malayalam/Malayalam	unsupported	
MS-Regex2006-07-15	Malayalam/Malayalam.v	unsupported	
MS-Regex2006-07-15	MathematicalOperators/MathematicalOperators	unsupported	
MS-Regex2006-07-15	MathematicalOperators/MathematicalOperators.v	unsupported	
MS-Regex2006-07-15	MiscellaneousSymbols/MiscellaneousSymbols	unsupported	
MS-Regex2006-07-15	MiscellaneousSymbols/MiscellaneousSymbols.v	unsupported	
MS-Regex2006-07-15	MiscellaneousTechnical/MiscellaneousTechnical	unsupported	
MS-Regex2006-07-15	MiscellaneousTechnical/MiscellaneousTechnical.v	unsupported	
MS-Regex2006-07-15	Mongolian/Mongolian	unsupported	
MS-Regex2006-07-15	Mongolian/Mongolian.v	unsupported	
MS-Regex2006-07-15	Myanmar/Myanmar	unsupported	
MS-Regex2006-07-15	Myanmar/Myanmar.v	unsupported	
MS-DataTypes2006-07-15	NCName_length006_481/NCName_length006_481	fail	
MS-DataTypes2006-07-15	NCName_length007_482/NCName_length007_482	fail	
MS-DataTypes2006-07-15	NCName_minLength006_488/NCName_minLength006_488	fail	
MS-DataTypes2006-07-15	NMTOKENS_length006_438/NMTOKENS_length006_438	fail	
MS-DataTypes2006-07-15	NMTOKENS_length007_439/NMTOKENS_length007_439	fail	
MS-DataTypes2006-07-15	NMTOKENS_minLength006_445/NMTOKENS_minLength006_445	fail	
MS-DataTypes2006-07-15	NMTOKEN_length006_416/NMTOKEN_length006_416	fail	
MS-DataTypes2006-07-15	NMTOKEN_length007_417/NMTOKEN_length007_417	fail	
MS-DataTypes2006-07-15	NMTOKEN_minLength006_423/NMTOKEN_minLength006_423	fail	
MS-DataTypes2006-07-15	NOTATION_enumeration001_1383/NOTATION_enumeration001_1383	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration001_1383/NOTATION_enumeration001_1383.i	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration001_320/NOTATION_enumeration001_320	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration002_1384/NOTATION_enumeration002_1384	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration002_1384/NOTATION_enumeration002_1384.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration002_321/NOTATION_enumeration002_321	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration003_1385/NOTATION_enumeration003_1385	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration003_1385/NOTATION_enumeration003_1385.i	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration004_1386/NOTATION_enumeration004_1386	unsupported	
MS-DataTypes2006-07-15	NOTATION_enumeration004_1386/NOTATION_enumeration004_1386.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_length001_1372/NOTATION_length001_1372	unsupported	
MS-DataTypes2006-07-15	NOTATION_length001_1372/NOTATION_length001_1372.i	unsupported	
MS-DataTypes2006-07-15	NOTATION_length001_300/NOTATION_length001_300	unsupported	
MS-DataTypes2006-07-15	NOTATION_length002_1373/NOTATION_length002_1373	unsupported	
MS-DataTypes2006-07-15	NOTATION_length002_1373/NOTATION_length002_1373.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_length002_301/NOTATION_length002_301	unsupported	
MS-DataTypes2006-07-15	NOTATION_length003_1374/NOTATION_length003_1374	unsupported	
MS-DataTypes2006-07-15	NOTATION_length003_1374/NOTATION_length003_1374.i	unsupported	
MS-DataTypes2006-07-15	NOTATION_length003_302/NOTATION_length003_302	unsupported	
MS-DataTypes2006-07-15	NOTATION_length004_303/NOTATION_length004_303	unsupported	
MS-DataTypes2006-07-15	NOTATION_length005_304/NOTATION_length005_304	unsupported	
MS-DataTypes2006-07-15	NOTATION_length006_305/NOTATION_length006_305	unsupported	
MS-DataTypes2006-07-15	NOTATION_length007_306/NOTATION_length007_306	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength001_1379/NOTATION_maxLength001_1379	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength001_1379/NOTATION_maxLength001_1379.i	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength001_314/NOTATION_maxLength001_314	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength002_1380/NOTATION_maxLength002_1380	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength002_1380/NOTATION_maxLength002_1380.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength002_315/NOTATION_maxLength002_315	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength003_1381/NOTATION_maxLength003_1381	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength003_1381/NOTATION_maxLength003_1381.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength003_316/NOTATION_maxLength003_316	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength004_317/NOTATION_maxLength004_317	unsupported	
MS-DataTypes2006-07-15	NOTATION_maxLength005_318/NOTATION_maxLength005_318	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength001_1375/NOTATION_minLength001_1375	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength001_1375/NOTATION_minLength001_1375.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength001_307/NOTATION_minLength001_307	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength002_1376/NOTATION_minLength002_1376	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength002_1376/NOTATION_minLength002_1376.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength002_308/NOTATION_minLength002_308	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength003_1377/NOTATION_minLength003_1377	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength003_1377/NOTATION_minLength003_1377.i	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength003_309/NOTATION_minLength003_309	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength004_1378/NOTATION_minLength004_1378	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength004_1378/NOTATION_minLength004_1378.v	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength004_310/NOTATION_minLength004_310	unsupported	
MS-DataTypes2006-07-15	NOTATION_minLength005_311/NOTATION_minLength005_311	unsupported	
